당기다01,v
당하다01,v
당황하다,v
닿다01,v
대기하다04,v
대다01,v
대답하다,v
대비하다04,v
대신하다,v
대응하다,v
대접하다,v
대처하다02,v
대표하다,v
대하다02,v
대화하다02,v
더러워지다,v
더불다,v
더하다,v
던지다,v
덜다01,v
덧붙이다,v
덮다,v
덮이다,v
데려가다,v
데려오다,v
데리다,v
데우다01,v
도달하다01,v
도망가다,v
도망치다,v
도와주다,v
도착하다01,v
독립하다,v
돌다,v
돌려주다,v
돌리다04,v
돌보다,v
돌아가다,v
돌아다니다,v
돌아보다,v
돌아서다,v
돌아오다,v
돕다,v
동의하다01,v
되다01,v
되돌리다,v
되돌아가다,v
되돌아보다,v
되돌아오다,v
되살리다,v
되찾다,v
되풀이되다,v
되풀이하다01,v
두다01,v
두드리다,v
두려워하다,v
두르다,v
두리번거리다,v
둘러보다,v
둘러싸다,v
둘러싸이다,v
뒤따르다,v
뒤지다02,v
뒤집다,v
드러나다,v
드리다01,v
듣다01,v
들다01,v
들다04,v
들려오다,v
들려주다,v
들르다,v
들리다03,v
들어가다01,v
들어서다,v
들어오다,v
들어주다,v
들여놓다,v
들여다보다,v
들이다02,v
들이마시다02,v
들이켜다01,v
등록하다01,v
등장하다01,v
따다01,v
따라가다,v
따라다니다,v
따라오다,v
따르다01,v
따르다02,v
때리다01,v
떠나가다,v
떠나다,v
떠나오다,v
떠들다01,v
떠오르다,v
떠올리다,v
떨다01,v
떨리다01,v
떨어뜨리다,v
떨어지다,v
떼다01,v
뚫다,v
뛰놀다,v
뛰다01,v
뛰다02,v
뛰어가다,v
뛰어나가다,v
뛰어나오다,v
뛰어내리다,v
뛰어넘다,v
뛰어놀다,v
뛰어다니다,v
뛰어들다,v
뛰어오다,v
뛰어오르다,v
뜨다01,v
뜨다03,v
뜨다05,v
뜯다,v
뜻하다,v
띄다01,v
띄우다02,v
마련되다,v
마련하다,v
마르다01,v
마시다,v
마음먹다,v
마주치다,v
마치다02,v
막다01,v
막히다,v
만나다,v
만들다,v
만들어지다,v
만족하다,v
만지다,v
많아지다,v
말다01,v
말다03,v
말리다02,v
말리다03,v
말씀드리다,v
말씀하다,v
말하다,v
맛보다01,v
망설이다,v
망치다,v
망하다,v
맞다01,v
맞다02,v
맞다03,v
맞서다,v
맞이하다,v
맞추다01,v
맡기다,v
맡다01,v
맡다02,v
매다01,v
매달다,v
매달리다,v
맺다,v
머무르다,v
머물다,v
먹고살다,v
먹다01,v
먹다02,v
먹이다,v
먹히다,v
멀어지다,v
멈추다,v
멎다01,v
메다02,v
메우다02,v
면하다01,v
모르다,v
모색하다02,v
모시다,v
모여들다,v
모으다,v
모이다01,v
모자라다,v
모집하다,v
몰다01,v
몰려들다,v
몰려오다,v
못하다,v
묘사하다,v
무너지다,v
무시하다,v
묵다01,v
묵다02,v
묶다,v
묶이다,v
